Time,01_A1::Des Heat Load [W],01_A1:ADAKNASANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_A1::Des Heat Mass Flow [kg/s],01_A1:ADAKNASANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_A2::Des Heat Load [W],01_A2:ADAKNASANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_A2::Des Heat Mass Flow [kg/s],01_A2:ADAKNASANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_B2::Des Heat Load [W],01_B2:ADAKNASANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_B2::Des Heat Mass Flow [kg/s],01_B2:ADAKNASANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_C1::Des Heat Load [W],01_C1:ADAKNASANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_C1::Des Heat Mass Flow [kg/s],01_C1:ADAKNASANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_A1::Des Heat Load [W],02_A1:ADAKNASANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_A1::Des Heat Mass Flow [kg/s],02_A1:ADAKNASANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_A2::Des Heat Load [W],02_A2:ADAKNASANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_A2::Des Heat Mass Flow [kg/s],02_A2:ADAKNASANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_B2::Des Heat Load [W],02_B2:ADAKNASANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_B2::Des Heat Mass Flow [kg/s],02_B2:ADAKNASANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_C1::Des Heat Load [W],02_C1:ADAKNASANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_C1::Des Heat Mass Flow [kg/s],02_C1:ADAKNASANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_A1::Des Heat Load [W],03_A1:ADAKNASANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_A1::Des Heat Mass Flow [kg/s],03_A1:ADAKNASANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_A2::Des Heat Load [W],03_A2:ADAKNASANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_A2::Des Heat Mass Flow [kg/s],03_A2:ADAKNASANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_B2::Des Heat Load [W],03_B2:ADAKNASANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_B2::Des Heat Mass Flow [kg/s],03_B2:ADAKNASANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_C1::Des Heat Load [W],03_C1:ADAKNASANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_C1::Des Heat Mass Flow [kg/s],03_C1:ADAKNASANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,1.116854E+03,0.000000E+00,7.872836E-02,0.000000E+00,1.239793E+03,0.000000E+00,8.740849E-02,0.000000E+00,6.847849E+02,0.000000E+00,4.827414E-02,0.000000E+00,5.557069E+02,0.000000E+00,3.917425E-02,0.000000E+00,2.710806E+03,0.000000E+00,1.911175E-01,0.000000E+00,2.692616E+03,0.000000E+00,1.898339E-01,0.000000E+00,3.035545E+03,0.000000E+00,2.140036E-01,0.000000E+00,3.047574E+03,0.000000E+00,2.148520E-01,0.000000E+00,2.711487E+03,0.000000E+00,1.911654E-01,0.000000E+00,2.819814E+03,0.000000E+00,1.987994E-01,0.000000E+00,2.984884E+03,0.000000E+00,2.104318E-01,0.000000E+00,3.031792E+03,0.000000E+00,2.137392E-01
00:20:00,0.000000E+00,1.040057E+03,0.000000E+00,7.331483E-02,0.000000E+00,1.167329E+03,0.000000E+00,8.229918E-02,0.000000E+00,5.982012E+02,0.000000E+00,4.217021E-02,0.000000E+00,4.678353E+02,0.000000E+00,3.297967E-02,0.000000E+00,2.631484E+03,0.000000E+00,1.855241E-01,0.000000E+00,2.604396E+03,0.000000E+00,1.836134E-01,0.000000E+00,2.938617E+03,0.000000E+00,2.071694E-01,0.000000E+00,2.953616E+03,0.000000E+00,2.082272E-01,0.000000E+00,2.627411E+03,0.000000E+00,1.852368E-01,0.000000E+00,2.729083E+03,0.000000E+00,1.924019E-01,0.000000E+00,2.883984E+03,0.000000E+00,2.033176E-01,0.000000E+00,2.932505E+03,0.000000E+00,2.067387E-01
00:30:00,0.000000E+00,9.630604E+02,0.000000E+00,6.788719E-02,0.000000E+00,1.094961E+03,0.000000E+00,7.719659E-02,0.000000E+00,5.116721E+02,0.000000E+00,3.607014E-02,0.000000E+00,3.797994E+02,0.000000E+00,2.677354E-02,0.000000E+00,2.551629E+03,0.000000E+00,1.798932E-01,0.000000E+00,2.515916E+03,0.000000E+00,1.773746E-01,0.000000E+00,2.841466E+03,0.000000E+00,2.003195E-01,0.000000E+00,2.859141E+03,0.000000E+00,2.015660E-01,0.000000E+00,2.542878E+03,0.000000E+00,1.792761E-01,0.000000E+00,2.638095E+03,0.000000E+00,1.859862E-01,0.000000E+00,2.782944E+03,0.000000E+00,1.961936E-01,0.000000E+00,2.832803E+03,0.000000E+00,1.997090E-01
00:40:00,0.000000E+00,8.858758E+02,0.000000E+00,6.244632E-02,0.000000E+00,1.022745E+03,0.000000E+00,7.210476E-02,0.000000E+00,4.252157E+02,0.000000E+00,2.997521E-02,0.000000E+00,2.916441E+02,0.000000E+00,2.055901E-02,0.000000E+00,2.471260E+03,0.000000E+00,1.742260E-01,0.000000E+00,2.427195E+03,0.000000E+00,1.711188E-01,0.000000E+00,2.744095E+03,0.000000E+00,1.934541E-01,0.000000E+00,2.764165E+03,0.000000E+00,1.948695E-01,0.000000E+00,2.457909E+03,0.000000E+00,1.732846E-01,0.000000E+00,2.546855E+03,0.000000E+00,1.795528E-01,0.000000E+00,2.681761E+03,0.000000E+00,1.890595E-01,0.000000E+00,2.732700E+03,0.000000E+00,1.926511E-01
00:50:00,0.000000E+00,8.084997E+02,0.000000E+00,5.699196E-02,0.000000E+00,9.506447E+02,0.000000E+00,6.702110E-02,0.000000E+00,3.387982E+02,0.000000E+00,2.388300E-02,0.000000E+00,2.033547E+02,0.000000E+00,1.433502E-02,0.000000E+00,2.390385E+03,0.000000E+00,1.685233E-01,0.000000E+00,2.338213E+03,0.000000E+00,1.648446E-01,0.000000E+00,2.646491E+03,0.000000E+00,1.865723E-01,0.000000E+00,2.668692E+03,0.000000E+00,1.881379E-01,0.000000E+00,2.372495E+03,0.000000E+00,1.672619E-01,0.000000E+00,2.455328E+03,0.000000E+00,1.730992E-01,0.000000E+00,2.580398E+03,0.000000E+00,1.819127E-01,0.000000E+00,2.632181E+03,0.000000E+00,1.855637E-01
01:00:00,0.000000E+00,7.309696E+02,0.000000E+00,5.152674E-02,0.000000E+00,8.786886E+02,0.000000E+00,6.194757E-02,0.000000E+00,2.524486E+02,0.000000E+00,1.779558E-02,0.000000E+00,1.149726E+02,0.000000E+00,8.104501E-03,0.000000E+00,2.309039E+03,0.000000E+00,1.627873E-01,0.000000E+00,2.249003E+03,0.000000E+00,1.585544E-01,0.000000E+00,2.548689E+03,0.000000E+00,1.796766E-01,0.000000E+00,2.572759E+03,0.000000E+00,1.813739E-01,0.000000E+00,2.286696E+03,0.000000E+00,1.612120E-01,0.000000E+00,2.363600E+03,0.000000E+00,1.666314E-01,0.000000E+00,2.478925E+03,0.000000E+00,1.747582E-01,0.000000E+00,2.531310E+03,0.000000E+00,1.784516E-01
01:10:00,0.000000E+00,6.953076E+02,0.000000E+00,4.901285E-02,0.000000E+00,8.470234E+02,0.000000E+00,5.971471E-02,0.000000E+00,2.134261E+02,0.000000E+00,1.504459E-02,0.000000E+00,8.506814E+01,0.000000E+00,5.996393E-03,0.000000E+00,2.266679E+03,0.000000E+00,1.598000E-01,0.000000E+00,2.200507E+03,0.000000E+00,1.551345E-01,0.000000E+00,2.494649E+03,0.000000E+00,1.758660E-01,0.000000E+00,2.521448E+03,0.000000E+00,1.777558E-01,0.000000E+00,2.243024E+03,0.000000E+00,1.581321E-01,0.000000E+00,2.316512E+03,0.000000E+00,1.633108E-01,0.000000E+00,2.425146E+03,0.000000E+00,1.709660E-01,0.000000E+00,2.478897E+03,0.000000E+00,1.747558E-01
01:20:00,0.000000E+00,6.621223E+02,0.000000E+00,4.667356E-02,0.000000E+00,8.193350E+02,0.000000E+00,5.776264E-02,0.000000E+00,1.771675E+02,0.000000E+00,1.248865E-02,0.000000E+00,6.103597E+01,0.000000E+00,4.302372E-03,0.000000E+00,2.226466E+03,0.000000E+00,1.569644E-01,0.000000E+00,2.156317E+03,0.000000E+00,1.520187E-01,0.000000E+00,2.443298E+03,0.000000E+00,1.722455E-01,0.000000E+00,2.472607E+03,0.000000E+00,1.743122E-01,0.000000E+00,2.201088E+03,0.000000E+00,1.551751E-01,0.000000E+00,2.271284E+03,0.000000E+00,1.601218E-01,0.000000E+00,2.373517E+03,0.000000E+00,1.673260E-01,0.000000E+00,2.428478E+03,0.000000E+00,1.712010E-01
01:30:00,0.000000E+00,6.302950E+02,0.000000E+00,4.442999E-02,0.000000E+00,7.928928E+02,0.000000E+00,5.589848E-02,0.000000E+00,1.424847E+02,0.000000E+00,1.004381E-02,0.000000E+00,4.127525E+01,0.000000E+00,2.909450E-03,0.000000E+00,2.187493E+03,0.000000E+00,1.542164E-01,0.000000E+00,2.113523E+03,0.000000E+00,1.490014E-01,0.000000E+00,2.393509E+03,0.000000E+00,1.687351E-01,0.000000E+00,2.425196E+03,0.000000E+00,1.709696E-01,0.000000E+00,2.160335E+03,0.000000E+00,1.523017E-01,0.000000E+00,2.227273E+03,0.000000E+00,1.570187E-01,0.000000E+00,2.323290E+03,0.000000E+00,1.637848E-01,0.000000E+00,2.379397E+03,0.000000E+00,1.677407E-01
01:40:00,0.000000E+00,5.994046E+02,0.000000E+00,4.225247E-02,0.000000E+00,7.672608E+02,0.000000E+00,5.409141E-02,0.000000E+00,1.087616E+02,0.000000E+00,7.666632E-03,0.000000E+00,2.476585E+01,0.000000E+00,1.745717E-03,0.000000E+00,2.149367E+03,0.000000E+00,1.515282E-01,0.000000E+00,2.071726E+03,0.000000E+00,1.460545E-01,0.000000E+00,2.344790E+03,0.000000E+00,1.653003E-01,0.000000E+00,2.378755E+03,0.000000E+00,1.676953E-01,0.000000E+00,2.120505E+03,0.000000E+00,1.494934E-01,0.000000E+00,2.184192E+03,0.000000E+00,1.539813E-01,0.000000E+00,2.274144E+03,0.000000E+00,1.603198E-01,0.000000E+00,2.331360E+03,0.000000E+00,1.643539E-01
