Time,01_A1:ANAKTUVUKPASSANNHUM_N99.6CONDNSDPMCDB:Des Heat Load [W],01_A1:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_A1:ANAKTUVUKPASSANNHUM_N99.6CONDNSDPMCDB:Des Heat Mass Flow [kg/s],01_A1:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_A2::Des Heat Load [W],01_A2:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_A2::Des Heat Mass Flow [kg/s],01_A2:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_B2:ANAKTUVUKPASSANNHTG99.6CONDNSDB:Des Heat Load [W],01_B2:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_B2:ANAKTUVUKPASSANNHTG99.6CONDNSDB:Des Heat Mass Flow [kg/s],01_B2:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_C1:ANAKTUVUKPASSANNHTG99.6CONDNSDB:Des Heat Load [W],01_C1:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_C1:ANAKTUVUKPASSANNHTG99.6CONDNSDB:Des Heat Mass Flow [kg/s],01_C1:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_A1::Des Heat Load [W],02_A1:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_A1::Des Heat Mass Flow [kg/s],02_A1:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_A2::Des Heat Load [W],02_A2:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_A2::Des Heat Mass Flow [kg/s],02_A2:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_B2::Des Heat Load [W],02_B2:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_B2::Des Heat Mass Flow [kg/s],02_B2:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_C1::Des Heat Load [W],02_C1:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_C1::Des Heat Mass Flow [kg/s],02_C1:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_A1::Des Heat Load [W],03_A1:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_A1::Des Heat Mass Flow [kg/s],03_A1:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_A2::Des Heat Load [W],03_A2:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_A2::Des Heat Mass Flow [kg/s],03_A2:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_B2::Des Heat Load [W],03_B2:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_B2::Des Heat Mass Flow [kg/s],03_B2:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_C1::Des Heat Load [W],03_C1:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_C1::Des Heat Mass Flow [kg/s],03_C1:ANAKTUVUKPASSANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s]
00:10:00,5.017312E+00,1.192724E+03,4.432431E-04,8.407677E-02,0.000000E+00,1.358115E+03,0.000000E+00,9.575132E-02,0.000000E+00,9.874275E+02,0.000000E+00,6.960993E-02,0.000000E+00,7.481485E+02,0.000000E+00,5.274127E-02,0.000000E+00,2.838717E+03,0.000000E+00,2.001374E-01,0.000000E+00,2.984005E+03,0.000000E+00,2.103784E-01,0.000000E+00,3.660385E+03,0.000000E+00,2.580559E-01,0.000000E+00,3.401483E+03,0.000000E+00,2.398043E-01,0.000000E+00,2.862226E+03,0.000000E+00,2.017947E-01,0.000000E+00,3.117316E+03,0.000000E+00,2.197753E-01,0.000000E+00,3.614439E+03,0.000000E+00,2.548162E-01,0.000000E+00,3.416066E+03,0.000000E+00,2.408321E-01
00:20:00,1.529222E+01,1.112129E+03,1.350968E-03,7.839545E-02,0.000000E+00,1.276604E+03,0.000000E+00,9.000403E-02,0.000000E+00,8.703407E+02,0.000000E+00,6.135539E-02,0.000000E+00,6.451236E+02,0.000000E+00,4.547820E-02,0.000000E+00,2.755429E+03,0.000000E+00,1.942643E-01,0.000000E+00,2.882091E+03,0.000000E+00,2.031923E-01,0.000000E+00,3.529312E+03,0.000000E+00,2.488142E-01,0.000000E+00,3.291192E+03,0.000000E+00,2.320278E-01,0.000000E+00,2.772438E+03,0.000000E+00,1.954633E-01,0.000000E+00,3.012717E+03,0.000000E+00,2.123998E-01,0.000000E+00,3.474099E+03,0.000000E+00,2.449213E-01,0.000000E+00,3.296263E+03,0.000000E+00,2.323849E-01
00:30:00,1.529222E+01,1.031526E+03,1.350968E-03,7.271357E-02,0.000000E+00,1.196328E+03,0.000000E+00,8.434389E-02,0.000000E+00,7.579345E+02,0.000000E+00,5.343089E-02,0.000000E+00,5.435471E+02,0.000000E+00,3.831729E-02,0.000000E+00,2.671723E+03,0.000000E+00,1.883617E-01,0.000000E+00,2.781434E+03,0.000000E+00,1.960949E-01,0.000000E+00,3.401878E+03,0.000000E+00,2.398291E-01,0.000000E+00,3.181639E+03,0.000000E+00,2.243033E-01,0.000000E+00,2.682416E+03,0.000000E+00,1.891154E-01,0.000000E+00,2.909322E+03,0.000000E+00,2.051093E-01,0.000000E+00,3.338366E+03,0.000000E+00,2.353512E-01,0.000000E+00,3.177753E+03,0.000000E+00,2.240290E-01
00:40:00,1.529222E+01,9.509369E+02,1.350968E-03,6.703270E-02,0.000000E+00,1.117017E+03,0.000000E+00,7.875176E-02,0.000000E+00,6.493638E+02,0.000000E+00,4.577679E-02,0.000000E+00,4.432746E+02,0.000000E+00,3.124833E-02,0.000000E+00,2.587632E+03,0.000000E+00,1.824321E-01,0.000000E+00,2.681642E+03,0.000000E+00,1.890585E-01,0.000000E+00,3.277440E+03,0.000000E+00,2.310554E-01,0.000000E+00,3.072734E+03,0.000000E+00,2.166247E-01,0.000000E+00,2.592192E+03,0.000000E+00,1.827534E-01,0.000000E+00,2.806862E+03,0.000000E+00,1.978847E-01,0.000000E+00,3.206470E+03,0.000000E+00,2.260517E-01,0.000000E+00,3.060400E+03,0.000000E+00,2.157548E-01
00:50:00,1.529222E+01,8.704075E+02,1.350968E-03,6.135603E-02,0.000000E+00,1.038595E+03,0.000000E+00,7.322229E-02,0.000000E+00,5.447160E+02,0.000000E+00,3.839926E-02,0.000000E+00,3.444879E+02,0.000000E+00,2.428412E-02,0.000000E+00,2.503208E+03,0.000000E+00,1.764789E-01,0.000000E+00,2.582637E+03,0.000000E+00,1.820775E-01,0.000000E+00,3.156143E+03,0.000000E+00,2.225031E-01,0.000000E+00,2.964692E+03,0.000000E+00,2.090068E-01,0.000000E+00,2.501819E+03,0.000000E+00,1.763808E-01,0.000000E+00,2.705292E+03,0.000000E+00,1.907229E-01,0.000000E+00,3.078686E+03,0.000000E+00,2.170421E-01,0.000000E+00,2.944477E+03,0.000000E+00,2.075814E-01
01:00:00,1.529222E+01,7.907179E+02,1.350968E-03,5.573857E-02,0.000000E+00,9.617001E+02,0.000000E+00,6.780048E-02,0.000000E+00,4.478365E+02,0.000000E+00,3.156937E-02,0.000000E+00,2.498937E+02,0.000000E+00,1.761546E-02,0.000000E+00,2.419100E+03,0.000000E+00,1.705481E-01,0.000000E+00,2.485233E+03,0.000000E+00,1.752095E-01,0.000000E+00,3.041147E+03,0.000000E+00,2.143950E-01,0.000000E+00,2.859873E+03,0.000000E+00,2.016162E-01,0.000000E+00,2.412397E+03,0.000000E+00,1.700753E-01,0.000000E+00,2.605998E+03,0.000000E+00,1.837216E-01,0.000000E+00,2.959698E+03,0.000000E+00,2.086526E-01,0.000000E+00,2.833677E+03,0.000000E+00,1.997691E-01
01:10:00,1.027491E+01,7.531409E+02,9.077251E-04,5.308968E-02,0.000000E+00,9.256938E+02,0.000000E+00,6.526151E-02,3.564379E+01,3.999580E+02,2.520085E-03,2.819396E-02,0.000000E+00,2.044109E+02,0.000000E+00,1.440908E-02,0.000000E+00,2.374197E+03,0.000000E+00,1.673813E-01,0.000000E+00,2.429652E+03,0.000000E+00,1.712901E-01,0.000000E+00,2.971867E+03,0.000000E+00,2.095100E-01,0.000000E+00,2.800685E+03,0.000000E+00,1.974426E-01,0.000000E+00,2.365359E+03,0.000000E+00,1.667580E-01,0.000000E+00,2.551947E+03,0.000000E+00,1.799100E-01,0.000000E+00,2.890325E+03,0.000000E+00,2.037611E-01,0.000000E+00,2.772355E+03,0.000000E+00,1.954452E-01
01:20:00,0.000000E+00,7.182128E+02,0.000000E+00,5.062752E-02,0.000000E+00,8.939238E+02,0.000000E+00,6.302164E-02,7.562789E+01,3.558794E+02,5.341468E-03,2.508668E-02,2.683021E+01,1.621449E+02,1.900189E-03,1.142968E-02,0.000000E+00,2.331600E+03,0.000000E+00,1.643776E-01,0.000000E+00,2.378911E+03,0.000000E+00,1.677123E-01,0.000000E+00,2.906511E+03,0.000000E+00,2.049020E-01,0.000000E+00,2.744613E+03,0.000000E+00,1.934893E-01,0.000000E+00,2.320268E+03,0.000000E+00,1.635785E-01,0.000000E+00,2.500209E+03,0.000000E+00,1.762619E-01,0.000000E+00,2.824385E+03,0.000000E+00,1.991120E-01,0.000000E+00,2.713741E+03,0.000000E+00,1.913126E-01
01:30:00,0.000000E+00,6.847757E+02,0.000000E+00,4.827046E-02,0.000000E+00,8.637483E+02,0.000000E+00,6.089425E-02,1.196160E+02,3.140558E+02,8.445378E-03,2.213839E-02,6.121521E+01,1.218709E+02,4.326375E-03,8.590724E-03,0.000000E+00,2.290362E+03,0.000000E+00,1.614698E-01,0.000000E+00,2.329908E+03,0.000000E+00,1.642573E-01,0.000000E+00,2.843587E+03,0.000000E+00,2.004655E-01,0.000000E+00,2.690435E+03,0.000000E+00,1.896695E-01,0.000000E+00,2.276522E+03,0.000000E+00,1.604940E-01,0.000000E+00,2.450019E+03,0.000000E+00,1.727231E-01,0.000000E+00,2.760803E+03,0.000000E+00,1.946293E-01,0.000000E+00,2.657010E+03,0.000000E+00,1.873128E-01
01:40:00,0.000000E+00,6.524075E+02,0.000000E+00,4.598877E-02,0.000000E+00,8.347094E+02,0.000000E+00,5.884698E-02,1.681260E+02,2.737927E+02,1.186842E-02,1.930010E-02,9.673655E+01,8.344825E+01,6.832750E-03,5.882288E-03,0.000000E+00,2.250083E+03,0.000000E+00,1.586298E-01,0.000000E+00,2.282217E+03,0.000000E+00,1.608948E-01,0.000000E+00,2.782447E+03,0.000000E+00,1.961550E-01,0.000000E+00,2.637622E+03,0.000000E+00,1.859459E-01,0.000000E+00,2.233870E+03,0.000000E+00,1.574867E-01,0.000000E+00,2.401081E+03,0.000000E+00,1.692727E-01,0.000000E+00,2.699128E+03,0.000000E+00,1.902811E-01,0.000000E+00,2.601821E+03,0.000000E+00,1.834218E-01
