Time,01_A1:ANCHORAGEELMENDORFANNHUM_N99.6CONDNSDPMCDB:Des Heat Load [W],01_A1:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_A1:ANCHORAGEELMENDORFANNHUM_N99.6CONDNSDPMCDB:Des Heat Mass Flow [kg/s],01_A1:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_A2::Des Heat Load [W],01_A2:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_A2::Des Heat Mass Flow [kg/s],01_A2:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_B2:ANCHORAGEELMENDORFANNHTG99.6CONDNSDB:Des Heat Load [W],01_B2:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_B2:ANCHORAGEELMENDORFANNHTG99.6CONDNSDB:Des Heat Mass Flow [kg/s],01_B2:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_C1:ANCHORAGEELMENDORFANNHTG99.6CONDNSDB:Des Heat Load [W],01_C1:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_C1:ANCHORAGEELMENDORFANNHTG99.6CONDNSDB:Des Heat Mass Flow [kg/s],01_C1:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_A1::Des Heat Load [W],02_A1:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_A1::Des Heat Mass Flow [kg/s],02_A1:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_A2::Des Heat Load [W],02_A2:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_A2::Des Heat Mass Flow [kg/s],02_A2:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_B2::Des Heat Load [W],02_B2:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_B2::Des Heat Mass Flow [kg/s],02_B2:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_C1::Des Heat Load [W],02_C1:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_C1::Des Heat Mass Flow [kg/s],02_C1:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_A1::Des Heat Load [W],03_A1:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_A1::Des Heat Mass Flow [kg/s],03_A1:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_A2::Des Heat Load [W],03_A2:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_A2::Des Heat Mass Flow [kg/s],03_A2:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_B2::Des Heat Load [W],03_B2:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_B2::Des Heat Mass Flow [kg/s],03_B2:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_C1::Des Heat Load [W],03_C1:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_C1::Des Heat Mass Flow [kg/s],03_C1:ANCHORAGEELMENDORFANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,1.212630E+03,0.000000E+00,8.547975E-02,0.000000E+00,1.363890E+03,0.000000E+00,9.615786E-02,0.000000E+00,8.940125E+02,0.000000E+00,6.302440E-02,0.000000E+00,7.413095E+02,0.000000E+00,5.225892E-02,0.000000E+00,2.855200E+03,0.000000E+00,2.012978E-01,0.000000E+00,2.939313E+03,0.000000E+00,2.072262E-01,0.000000E+00,3.439090E+03,0.000000E+00,2.424536E-01,0.000000E+00,3.362164E+03,0.000000E+00,2.370309E-01,0.000000E+00,2.888267E+03,0.000000E+00,2.036290E-01,0.000000E+00,3.083752E+03,0.000000E+00,2.174076E-01,0.000000E+00,3.421332E+03,0.000000E+00,2.412015E-01,0.000000E+00,3.397968E+03,0.000000E+00,2.395548E-01
00:20:00,0.000000E+00,1.134956E+03,0.000000E+00,8.000439E-02,0.000000E+00,1.288634E+03,0.000000E+00,9.085154E-02,0.000000E+00,8.038341E+02,0.000000E+00,5.666691E-02,0.000000E+00,6.511904E+02,0.000000E+00,4.590572E-02,0.000000E+00,2.774705E+03,0.000000E+00,1.956217E-01,0.000000E+00,2.847066E+03,0.000000E+00,2.007217E-01,0.000000E+00,3.335645E+03,0.000000E+00,2.351598E-01,0.000000E+00,3.264832E+03,0.000000E+00,2.301681E-01,0.000000E+00,2.802549E+03,0.000000E+00,1.975846E-01,0.000000E+00,2.989688E+03,0.000000E+00,2.107749E-01,0.000000E+00,3.313707E+03,0.000000E+00,2.336131E-01,0.000000E+00,3.294739E+03,0.000000E+00,2.322763E-01
00:30:00,0.000000E+00,1.057139E+03,0.000000E+00,7.451893E-02,0.000000E+00,1.213514E+03,0.000000E+00,8.555496E-02,0.000000E+00,7.139511E+02,0.000000E+00,5.033027E-02,0.000000E+00,5.610504E+02,0.000000E+00,3.955107E-02,0.000000E+00,2.693724E+03,0.000000E+00,1.899113E-01,0.000000E+00,2.754672E+03,0.000000E+00,1.942069E-01,0.000000E+00,3.232256E+03,0.000000E+00,2.278701E-01,0.000000E+00,3.167124E+03,0.000000E+00,2.232789E-01,0.000000E+00,2.716449E+03,0.000000E+00,1.915134E-01,0.000000E+00,2.895524E+03,0.000000E+00,2.041353E-01,0.000000E+00,3.206273E+03,0.000000E+00,2.260381E-01,0.000000E+00,3.191284E+03,0.000000E+00,2.249819E-01
00:40:00,0.000000E+00,9.791866E+02,0.000000E+00,6.902391E-02,0.000000E+00,1.138551E+03,0.000000E+00,8.026937E-02,0.000000E+00,6.243538E+02,0.000000E+00,4.401376E-02,0.000000E+00,4.709135E+02,0.000000E+00,3.319666E-02,0.000000E+00,2.612271E+03,0.000000E+00,1.841678E-01,0.000000E+00,2.662133E+03,0.000000E+00,1.876819E-01,0.000000E+00,3.128894E+03,0.000000E+00,2.205822E-01,0.000000E+00,3.069043E+03,0.000000E+00,2.163633E-01,0.000000E+00,2.629980E+03,0.000000E+00,1.854161E-01,0.000000E+00,2.801248E+03,0.000000E+00,1.974877E-01,0.000000E+00,3.098986E+03,0.000000E+00,2.184736E-01,0.000000E+00,3.087597E+03,0.000000E+00,2.176711E-01
00:50:00,0.000000E+00,9.011056E+02,0.000000E+00,6.351985E-02,0.000000E+00,1.063724E+03,0.000000E+00,7.499342E-02,0.000000E+00,5.350095E+02,0.000000E+00,3.771507E-02,0.000000E+00,3.807719E+02,0.000000E+00,2.684189E-02,0.000000E+00,2.530362E+03,0.000000E+00,1.783920E-01,0.000000E+00,2.569443E+03,0.000000E+00,1.811461E-01,0.000000E+00,3.025540E+03,0.000000E+00,2.132949E-01,0.000000E+00,2.970593E+03,0.000000E+00,2.094218E-01,0.000000E+00,2.543153E+03,0.000000E+00,1.792936E-01,0.000000E+00,2.706851E+03,0.000000E+00,1.908317E-01,0.000000E+00,2.991813E+03,0.000000E+00,2.109171E-01,0.000000E+00,2.983672E+03,0.000000E+00,2.103437E-01
01:00:00,0.000000E+00,8.229029E+02,0.000000E+00,5.800721E-02,0.000000E+00,9.890251E+02,0.000000E+00,6.972642E-02,0.000000E+00,4.458933E+02,0.000000E+00,3.143246E-02,0.000000E+00,2.906240E+02,0.000000E+00,2.048668E-02,0.000000E+00,2.448010E+03,0.000000E+00,1.725850E-01,0.000000E+00,2.476599E+03,0.000000E+00,1.745997E-01,0.000000E+00,2.922177E+03,0.000000E+00,2.060070E-01,0.000000E+00,2.871779E+03,0.000000E+00,2.024546E-01,0.000000E+00,2.455976E+03,0.000000E+00,1.731465E-01,0.000000E+00,2.612327E+03,0.000000E+00,1.841667E-01,0.000000E+00,2.884730E+03,0.000000E+00,2.033669E-01,0.000000E+00,2.879510E+03,0.000000E+00,2.029994E-01
01:10:00,2.568272E+00,7.866116E+02,2.268901E-04,5.544897E-02,0.000000E+00,9.546684E+02,0.000000E+00,6.730374E-02,0.000000E+00,4.042690E+02,0.000000E+00,2.849792E-02,0.000000E+00,2.488028E+02,0.000000E+00,1.753838E-02,0.000000E+00,2.404678E+03,0.000000E+00,1.695290E-01,0.000000E+00,2.424843E+03,0.000000E+00,1.709499E-01,0.000000E+00,2.862763E+03,0.000000E+00,2.018175E-01,0.000000E+00,2.817688E+03,0.000000E+00,1.986404E-01,0.000000E+00,2.410977E+03,0.000000E+00,1.699730E-01,0.000000E+00,2.562540E+03,0.000000E+00,1.806558E-01,0.000000E+00,2.825544E+03,0.000000E+00,1.991935E-01,0.000000E+00,2.823932E+03,0.000000E+00,1.990804E-01
01:20:00,7.989944E+00,7.528423E+02,7.058600E-04,5.306849E-02,0.000000E+00,9.242229E+02,0.000000E+00,6.515724E-02,0.000000E+00,3.655943E+02,0.000000E+00,2.577156E-02,0.000000E+00,2.097314E+02,0.000000E+00,1.478414E-02,0.000000E+00,2.363531E+03,0.000000E+00,1.666276E-01,0.000000E+00,2.377634E+03,0.000000E+00,1.676212E-01,0.000000E+00,2.806232E+03,0.000000E+00,1.978316E-01,0.000000E+00,2.766176E+03,0.000000E+00,1.950084E-01,0.000000E+00,2.367777E+03,0.000000E+00,1.669268E-01,0.000000E+00,2.514729E+03,0.000000E+00,1.772846E-01,0.000000E+00,2.768731E+03,0.000000E+00,1.951878E-01,0.000000E+00,2.770494E+03,0.000000E+00,1.953127E-01
01:30:00,1.561002E+01,7.204614E+02,1.379046E-03,5.078590E-02,0.000000E+00,8.951450E+02,0.000000E+00,6.310722E-02,0.000000E+00,3.286157E+02,0.000000E+00,2.316480E-02,0.000000E+00,1.723299E+02,0.000000E+00,1.214764E-02,0.000000E+00,2.323648E+03,0.000000E+00,1.638154E-01,0.000000E+00,2.331923E+03,0.000000E+00,1.643982E-01,0.000000E+00,2.751418E+03,0.000000E+00,1.939670E-01,0.000000E+00,2.716176E+03,0.000000E+00,1.914832E-01,0.000000E+00,2.325791E+03,0.000000E+00,1.639664E-01,0.000000E+00,2.468197E+03,0.000000E+00,1.740037E-01,0.000000E+00,2.713478E+03,0.000000E+00,1.912922E-01,0.000000E+00,2.718489E+03,0.000000E+00,1.916461E-01
01:40:00,2.511708E+01,6.890731E+02,2.218934E-03,4.857327E-02,0.000000E+00,8.670295E+02,0.000000E+00,6.112504E-02,0.000000E+00,2.927598E+02,0.000000E+00,2.063717E-02,0.000000E+00,1.360391E+02,0.000000E+00,9.589446E-03,0.000000E+00,2.284654E+03,0.000000E+00,1.610660E-01,0.000000E+00,2.287348E+03,0.000000E+00,1.612554E-01,0.000000E+00,2.697859E+03,0.000000E+00,1.901909E-01,0.000000E+00,2.667249E+03,0.000000E+00,1.880336E-01,0.000000E+00,2.284801E+03,0.000000E+00,1.610763E-01,0.000000E+00,2.422732E+03,0.000000E+00,1.707981E-01,0.000000E+00,2.659528E+03,0.000000E+00,1.874886E-01,0.000000E+00,2.667674E+03,0.000000E+00,1.880634E-01
