Time,01_A1:LAKEHOODSEAPLANEANNHTG99.6CONDNSDB:Des Heat Load [W],01_A1:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_A1:LAKEHOODSEAPLANEANNHTG99.6CONDNSDB:Des Heat Mass Flow [kg/s],01_A1:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_A2::Des Heat Load [W],01_A2:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_A2::Des Heat Mass Flow [kg/s],01_A2:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_B2:LAKEHOODSEAPLANEANNHTG99.6CONDNSDB:Des Heat Load [W],01_B2:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_B2:LAKEHOODSEAPLANEANNHTG99.6CONDNSDB:Des Heat Mass Flow [kg/s],01_B2:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_C1::Des Heat Load [W],01_C1:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_C1::Des Heat Mass Flow [kg/s],01_C1:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_A1::Des Heat Load [W],02_A1:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_A1::Des Heat Mass Flow [kg/s],02_A1:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_A2::Des Heat Load [W],02_A2:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_A2::Des Heat Mass Flow [kg/s],02_A2:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_B2::Des Heat Load [W],02_B2:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_B2::Des Heat Mass Flow [kg/s],02_B2:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_C1::Des Heat Load [W],02_C1:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_C1::Des Heat Mass Flow [kg/s],02_C1:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_A1::Des Heat Load [W],03_A1:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_A1::Des Heat Mass Flow [kg/s],03_A1:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_A2::Des Heat Load [W],03_A2:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_A2::Des Heat Mass Flow [kg/s],03_A2:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_B2::Des Heat Load [W],03_B2:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_B2::Des Heat Mass Flow [kg/s],03_B2:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_C1::Des Heat Load [W],03_C1:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_C1::Des Heat Mass Flow [kg/s],03_C1:LAKEHOODSEAPLANEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,1.226367E+03,0.000000E+00,8.644808E-02,0.000000E+00,1.381208E+03,0.000000E+00,9.737874E-02,0.000000E+00,9.197706E+02,0.000000E+00,6.484030E-02,0.000000E+00,7.665297E+02,0.000000E+00,5.403690E-02,0.000000E+00,2.875815E+03,0.000000E+00,2.027511E-01,0.000000E+00,2.971702E+03,0.000000E+00,2.095095E-01,0.000000E+00,3.481652E+03,0.000000E+00,2.454541E-01,0.000000E+00,3.400637E+03,0.000000E+00,2.397431E-01,0.000000E+00,2.912363E+03,0.000000E+00,2.053277E-01,0.000000E+00,3.117602E+03,0.000000E+00,2.197940E-01,0.000000E+00,3.468122E+03,0.000000E+00,2.445001E-01,0.000000E+00,3.442032E+03,0.000000E+00,2.426612E-01
00:20:00,0.000000E+00,1.148767E+03,0.000000E+00,8.097794E-02,0.000000E+00,1.305906E+03,0.000000E+00,9.206928E-02,0.000000E+00,8.296326E+02,0.000000E+00,5.848565E-02,0.000000E+00,6.765372E+02,0.000000E+00,4.769261E-02,0.000000E+00,2.795331E+03,0.000000E+00,1.970758E-01,0.000000E+00,2.879305E+03,0.000000E+00,2.029944E-01,0.000000E+00,3.378081E+03,0.000000E+00,2.381515E-01,0.000000E+00,3.303383E+03,0.000000E+00,2.328858E-01,0.000000E+00,2.826619E+03,0.000000E+00,1.992815E-01,0.000000E+00,3.023430E+03,0.000000E+00,2.131537E-01,0.000000E+00,3.360352E+03,0.000000E+00,2.369015E-01,0.000000E+00,3.338843E+03,0.000000E+00,2.353856E-01
00:30:00,0.000000E+00,1.071026E+03,0.000000E+00,7.549782E-02,0.000000E+00,1.230726E+03,0.000000E+00,8.676839E-02,0.000000E+00,7.397987E+02,0.000000E+00,5.215245E-02,0.000000E+00,5.865268E+02,0.000000E+00,4.134708E-02,0.000000E+00,2.714364E+03,0.000000E+00,1.913664E-01,0.000000E+00,2.786767E+03,0.000000E+00,1.964695E-01,0.000000E+00,3.274579E+03,0.000000E+00,2.308537E-01,0.000000E+00,3.205760E+03,0.000000E+00,2.260026E-01,0.000000E+00,2.740502E+03,0.000000E+00,1.932090E-01,0.000000E+00,2.929171E+03,0.000000E+00,2.065074E-01,0.000000E+00,3.252793E+03,0.000000E+00,2.293176E-01,0.000000E+00,3.235441E+03,0.000000E+00,2.280949E-01
00:40:00,0.000000E+00,9.931506E+02,0.000000E+00,7.000824E-02,0.000000E+00,1.155692E+03,0.000000E+00,8.147780E-02,0.000000E+00,6.502569E+02,0.000000E+00,4.583985E-02,0.000000E+00,4.965208E+02,0.000000E+00,3.500187E-02,0.000000E+00,2.632930E+03,0.000000E+00,1.856241E-01,0.000000E+00,2.694089E+03,0.000000E+00,1.899346E-01,0.000000E+00,3.171115E+03,0.000000E+00,2.235586E-01,0.000000E+00,3.107768E+03,0.000000E+00,2.190933E-01,0.000000E+00,2.654023E+03,0.000000E+00,1.871111E-01,0.000000E+00,2.834811E+03,0.000000E+00,1.998539E-01,0.000000E+00,3.145396E+03,0.000000E+00,2.217454E-01,0.000000E+00,3.131816E+03,0.000000E+00,2.207885E-01
00:50:00,0.000000E+00,9.151476E+02,0.000000E+00,6.450968E-02,0.000000E+00,1.080787E+03,0.000000E+00,7.619630E-02,0.000000E+00,5.609734E+02,0.000000E+00,3.954544E-02,0.000000E+00,4.065106E+02,0.000000E+00,2.865635E-02,0.000000E+00,2.551041E+03,0.000000E+00,1.798498E-01,0.000000E+00,2.601263E+03,0.000000E+00,1.833894E-01,0.000000E+00,3.067668E+03,0.000000E+00,2.162648E-01,0.000000E+00,3.009410E+03,0.000000E+00,2.121583E-01,0.000000E+00,2.567191E+03,0.000000E+00,1.809882E-01,0.000000E+00,2.740340E+03,0.000000E+00,1.931926E-01,0.000000E+00,3.038127E+03,0.000000E+00,2.141821E-01,0.000000E+00,3.027962E+03,0.000000E+00,2.134660E-01
01:00:00,0.000000E+00,8.370234E+02,0.000000E+00,5.900257E-02,0.000000E+00,1.006002E+03,0.000000E+00,7.092331E-02,0.000000E+00,4.719225E+02,0.000000E+00,3.326741E-02,0.000000E+00,3.164938E+02,0.000000E+00,2.231036E-02,0.000000E+00,2.468712E+03,0.000000E+00,1.740445E-01,0.000000E+00,2.508287E+03,0.000000E+00,1.768335E-01,0.000000E+00,2.964222E+03,0.000000E+00,2.089711E-01,0.000000E+00,2.910691E+03,0.000000E+00,2.051978E-01,0.000000E+00,2.480016E+03,0.000000E+00,1.748412E-01,0.000000E+00,2.645751E+03,0.000000E+00,1.865230E-01,0.000000E+00,2.930960E+03,0.000000E+00,2.066260E-01,0.000000E+00,2.923877E+03,0.000000E+00,2.061272E-01
01:10:00,0.000000E+00,8.008102E+02,0.000000E+00,5.644983E-02,0.000000E+00,9.715821E+02,0.000000E+00,6.849614E-02,0.000000E+00,4.303649E+02,0.000000E+00,3.033756E-02,0.000000E+00,2.748006E+02,0.000000E+00,1.937106E-02,0.000000E+00,2.425404E+03,0.000000E+00,1.709902E-01,0.000000E+00,2.456435E+03,0.000000E+00,1.731770E-01,0.000000E+00,2.904730E+03,0.000000E+00,2.047760E-01,0.000000E+00,2.856696E+03,0.000000E+00,2.013903E-01,0.000000E+00,2.435021E+03,0.000000E+00,1.716680E-01,0.000000E+00,2.595906E+03,0.000000E+00,1.830079E-01,0.000000E+00,2.871697E+03,0.000000E+00,2.024471E-01,0.000000E+00,2.868379E+03,0.000000E+00,2.022138E-01
01:20:00,1.386719E+00,7.671169E+02,1.225077E-04,5.407472E-02,0.000000E+00,9.410943E+02,0.000000E+00,6.634665E-02,0.000000E+00,3.917583E+02,0.000000E+00,2.761600E-02,0.000000E+00,2.358554E+02,0.000000E+00,1.662570E-02,0.000000E+00,2.384281E+03,0.000000E+00,1.680904E-01,0.000000E+00,2.409144E+03,0.000000E+00,1.698425E-01,0.000000E+00,2.848126E+03,0.000000E+00,2.007850E-01,0.000000E+00,2.805278E+03,0.000000E+00,1.977650E-01,0.000000E+00,2.391827E+03,0.000000E+00,1.686223E-01,0.000000E+00,2.548039E+03,0.000000E+00,1.796329E-01,0.000000E+00,2.814813E+03,0.000000E+00,1.984364E-01,0.000000E+00,2.815020E+03,0.000000E+00,1.984517E-01
01:30:00,4.970314E+00,7.348106E+02,4.390956E-04,5.179738E-02,0.000000E+00,9.119714E+02,0.000000E+00,6.429345E-02,0.000000E+00,3.548463E+02,0.000000E+00,2.501391E-02,0.000000E+00,1.985745E+02,0.000000E+00,1.399768E-02,0.000000E+00,2.344423E+03,0.000000E+00,1.652800E-01,0.000000E+00,2.363351E+03,0.000000E+00,1.666138E-01,0.000000E+00,2.793243E+03,0.000000E+00,1.969155E-01,0.000000E+00,2.755371E+03,0.000000E+00,1.942463E-01,0.000000E+00,2.349848E+03,0.000000E+00,1.656624E-01,0.000000E+00,2.501455E+03,0.000000E+00,1.763483E-01,0.000000E+00,2.759493E+03,0.000000E+00,1.945361E-01,0.000000E+00,2.763094E+03,0.000000E+00,1.947907E-01
01:40:00,1.043677E+01,7.034945E+02,9.220226E-04,4.958984E-02,0.000000E+00,8.837993E+02,0.000000E+00,6.230728E-02,0.000000E+00,3.190547E+02,0.000000E+00,2.249081E-02,0.000000E+00,1.623987E+02,0.000000E+00,1.144757E-02,0.000000E+00,2.305453E+03,0.000000E+00,1.625322E-01,0.000000E+00,2.318696E+03,0.000000E+00,1.634653E-01,0.000000E+00,2.739616E+03,0.000000E+00,1.931346E-01,0.000000E+00,2.706534E+03,0.000000E+00,1.908031E-01,0.000000E+00,2.308866E+03,0.000000E+00,1.627728E-01,0.000000E+00,2.455941E+03,0.000000E+00,1.731392E-01,0.000000E+00,2.705478E+03,0.000000E+00,1.907279E-01,0.000000E+00,2.712357E+03,0.000000E+00,1.912134E-01
