Time,01_A1:ANCHORAGEMERRILLFIELDANNHTG99.6CONDNSDB:Des Heat Load [W],01_A1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_A1:ANCHORAGEMERRILLFIELDANNHTG99.6CONDNSDB:Des Heat Mass Flow [kg/s],01_A1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_A2::Des Heat Load [W],01_A2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_A2::Des Heat Mass Flow [kg/s],01_A2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_B2:ANCHORAGEMERRILLFIELDANNHTG99.6CONDNSDB:Des Heat Load [W],01_B2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_B2:ANCHORAGEMERRILLFIELDANNHTG99.6CONDNSDB:Des Heat Mass Flow [kg/s],01_B2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_C1:ANCHORAGEMERRILLFIELDANNHTG99.6CONDNSDB:Des Heat Load [W],01_C1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_C1:ANCHORAGEMERRILLFIELDANNHTG99.6CONDNSDB:Des Heat Mass Flow [kg/s],01_C1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_A1::Des Heat Load [W],02_A1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_A1::Des Heat Mass Flow [kg/s],02_A1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_A2::Des Heat Load [W],02_A2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_A2::Des Heat Mass Flow [kg/s],02_A2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_B2::Des Heat Load [W],02_B2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_B2::Des Heat Mass Flow [kg/s],02_B2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_C1::Des Heat Load [W],02_C1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_C1::Des Heat Mass Flow [kg/s],02_C1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_A1::Des Heat Load [W],03_A1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_A1::Des Heat Mass Flow [kg/s],03_A1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_A2::Des Heat Load [W],03_A2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_A2::Des Heat Mass Flow [kg/s],03_A2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_B2::Des Heat Load [W],03_B2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_B2::Des Heat Mass Flow [kg/s],03_B2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_C1::Des Heat Load [W],03_C1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_C1::Des Heat Mass Flow [kg/s],03_C1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,1.212531E+03,0.000000E+00,8.547277E-02,0.000000E+00,1.364350E+03,0.000000E+00,9.619026E-02,0.000000E+00,8.946713E+02,0.000000E+00,6.307082E-02,0.000000E+00,7.412033E+02,0.000000E+00,5.225142E-02,0.000000E+00,2.857316E+03,0.000000E+00,2.014470E-01,0.000000E+00,2.944181E+03,0.000000E+00,2.075693E-01,0.000000E+00,3.445274E+03,0.000000E+00,2.428896E-01,0.000000E+00,3.364276E+03,0.000000E+00,2.371797E-01,0.000000E+00,2.888601E+03,0.000000E+00,2.036525E-01,0.000000E+00,3.086732E+03,0.000000E+00,2.176177E-01,0.000000E+00,3.423752E+03,0.000000E+00,2.413721E-01,0.000000E+00,3.396206E+03,0.000000E+00,2.394305E-01
00:20:00,0.000000E+00,1.134921E+03,0.000000E+00,8.000192E-02,0.000000E+00,1.289166E+03,0.000000E+00,9.088904E-02,0.000000E+00,8.045716E+02,0.000000E+00,5.671888E-02,0.000000E+00,6.512195E+02,0.000000E+00,4.590777E-02,0.000000E+00,2.776815E+03,0.000000E+00,1.957704E-01,0.000000E+00,2.851893E+03,0.000000E+00,2.010620E-01,0.000000E+00,3.341749E+03,0.000000E+00,2.355901E-01,0.000000E+00,3.267013E+03,0.000000E+00,2.303218E-01,0.000000E+00,2.802837E+03,0.000000E+00,1.976049E-01,0.000000E+00,2.992568E+03,0.000000E+00,2.109779E-01,0.000000E+00,3.316014E+03,0.000000E+00,2.337756E-01,0.000000E+00,3.292994E+03,0.000000E+00,2.321533E-01
00:30:00,0.000000E+00,1.057170E+03,0.000000E+00,7.452108E-02,0.000000E+00,1.214121E+03,0.000000E+00,8.559772E-02,0.000000E+00,7.147724E+02,0.000000E+00,5.038816E-02,0.000000E+00,5.612170E+02,0.000000E+00,3.956282E-02,0.000000E+00,2.695832E+03,0.000000E+00,1.900599E-01,0.000000E+00,2.759464E+03,0.000000E+00,1.945447E-01,0.000000E+00,3.238289E+03,0.000000E+00,2.282953E-01,0.000000E+00,3.169380E+03,0.000000E+00,2.234379E-01,0.000000E+00,2.716701E+03,0.000000E+00,1.915310E-01,0.000000E+00,2.898315E+03,0.000000E+00,2.043320E-01,0.000000E+00,3.208482E+03,0.000000E+00,2.261938E-01,0.000000E+00,3.189569E+03,0.000000E+00,2.248610E-01
00:40:00,0.000000E+00,9.792839E+02,0.000000E+00,6.903077E-02,0.000000E+00,1.139231E+03,0.000000E+00,8.031728E-02,0.000000E+00,6.252632E+02,0.000000E+00,4.407786E-02,0.000000E+00,4.712193E+02,0.000000E+00,3.321821E-02,0.000000E+00,2.614381E+03,0.000000E+00,1.843164E-01,0.000000E+00,2.666894E+03,0.000000E+00,1.880174E-01,0.000000E+00,3.134865E+03,0.000000E+00,2.210031E-01,0.000000E+00,3.071378E+03,0.000000E+00,2.165279E-01,0.000000E+00,2.630203E+03,0.000000E+00,1.854317E-01,0.000000E+00,2.803960E+03,0.000000E+00,1.976789E-01,0.000000E+00,3.101111E+03,0.000000E+00,2.186233E-01,0.000000E+00,3.085922E+03,0.000000E+00,2.175530E-01
00:50:00,0.000000E+00,9.012703E+02,0.000000E+00,6.353146E-02,0.000000E+00,1.064477E+03,0.000000E+00,7.504647E-02,0.000000E+00,5.360101E+02,0.000000E+00,3.778561E-02,0.000000E+00,3.812174E+02,0.000000E+00,2.687330E-02,0.000000E+00,2.532476E+03,0.000000E+00,1.785410E-01,0.000000E+00,2.574176E+03,0.000000E+00,1.814798E-01,0.000000E+00,3.031456E+03,0.000000E+00,2.137119E-01,0.000000E+00,2.973010E+03,0.000000E+00,2.095921E-01,0.000000E+00,2.543352E+03,0.000000E+00,1.793076E-01,0.000000E+00,2.709492E+03,0.000000E+00,1.910178E-01,0.000000E+00,2.993866E+03,0.000000E+00,2.110617E-01,0.000000E+00,2.982045E+03,0.000000E+00,2.102289E-01
01:00:00,0.000000E+00,8.231353E+02,0.000000E+00,5.802360E-02,0.000000E+00,9.898502E+02,0.000000E+00,6.978457E-02,0.000000E+00,4.469876E+02,0.000000E+00,3.150960E-02,0.000000E+00,2.912093E+02,0.000000E+00,2.052794E-02,0.000000E+00,2.450131E+03,0.000000E+00,1.727345E-01,0.000000E+00,2.481308E+03,0.000000E+00,1.749316E-01,0.000000E+00,2.928046E+03,0.000000E+00,2.064207E-01,0.000000E+00,2.874281E+03,0.000000E+00,2.026310E-01,0.000000E+00,2.456159E+03,0.000000E+00,1.731593E-01,0.000000E+00,2.614905E+03,0.000000E+00,1.843484E-01,0.000000E+00,2.886720E+03,0.000000E+00,2.035071E-01,0.000000E+00,2.877938E+03,0.000000E+00,2.028886E-01
01:10:00,1.712107E+00,7.869124E+02,1.512535E-04,5.547016E-02,0.000000E+00,9.555651E+02,0.000000E+00,6.736694E-02,0.000000E+00,4.054585E+02,0.000000E+00,2.858177E-02,0.000000E+00,2.495264E+02,0.000000E+00,1.758939E-02,0.000000E+00,2.406807E+03,0.000000E+00,1.696791E-01,0.000000E+00,2.429535E+03,0.000000E+00,1.712806E-01,0.000000E+00,2.868589E+03,0.000000E+00,2.022282E-01,0.000000E+00,2.820277E+03,0.000000E+00,1.988229E-01,0.000000E+00,2.411149E+03,0.000000E+00,1.699851E-01,0.000000E+00,2.565065E+03,0.000000E+00,1.808337E-01,0.000000E+00,2.827481E+03,0.000000E+00,1.993300E-01,0.000000E+00,2.822421E+03,0.000000E+00,1.989739E-01
01:20:00,6.274676E+00,7.532090E+02,5.543272E-04,5.309434E-02,0.000000E+00,9.251918E+02,0.000000E+00,6.522554E-02,0.000000E+00,3.668766E+02,0.000000E+00,2.586196E-02,0.000000E+00,2.105889E+02,0.000000E+00,1.484459E-02,0.000000E+00,2.365670E+03,0.000000E+00,1.667784E-01,0.000000E+00,2.382310E+03,0.000000E+00,1.679508E-01,0.000000E+00,2.812019E+03,0.000000E+00,1.982396E-01,0.000000E+00,2.768850E+03,0.000000E+00,1.951969E-01,0.000000E+00,2.367940E+03,0.000000E+00,1.669383E-01,0.000000E+00,2.517203E+03,0.000000E+00,1.774589E-01,0.000000E+00,2.770618E+03,0.000000E+00,1.953209E-01,0.000000E+00,2.769044E+03,0.000000E+00,1.952105E-01
01:30:00,1.303856E+01,7.208924E+02,1.151874E-03,5.081627E-02,0.000000E+00,8.961804E+02,0.000000E+00,6.318020E-02,0.000000E+00,3.299889E+02,0.000000E+00,2.326159E-02,0.000000E+00,1.733171E+02,0.000000E+00,1.221723E-02,0.000000E+00,2.325797E+03,0.000000E+00,1.639669E-01,0.000000E+00,2.336584E+03,0.000000E+00,1.647268E-01,0.000000E+00,2.757169E+03,0.000000E+00,1.943724E-01,0.000000E+00,2.718934E+03,0.000000E+00,1.916776E-01,0.000000E+00,2.325947E+03,0.000000E+00,1.639774E-01,0.000000E+00,2.470622E+03,0.000000E+00,1.741746E-01,0.000000E+00,2.715319E+03,0.000000E+00,1.914220E-01,0.000000E+00,2.717100E+03,0.000000E+00,1.915482E-01
01:40:00,2.168867E+01,6.895658E+02,1.916057E-03,4.860800E-02,0.000000E+00,8.681269E+02,0.000000E+00,6.120239E-02,0.000000E+00,2.942200E+02,0.000000E+00,2.074010E-02,0.000000E+00,1.371504E+02,0.000000E+00,9.667783E-03,0.000000E+00,2.286813E+03,0.000000E+00,1.612181E-01,0.000000E+00,2.291992E+03,0.000000E+00,1.615828E-01,0.000000E+00,2.703574E+03,0.000000E+00,1.905937E-01,0.000000E+00,2.670088E+03,0.000000E+00,1.882337E-01,0.000000E+00,2.284951E+03,0.000000E+00,1.610868E-01,0.000000E+00,2.425110E+03,0.000000E+00,1.709657E-01,0.000000E+00,2.661325E+03,0.000000E+00,1.876152E-01,0.000000E+00,2.666345E+03,0.000000E+00,1.879697E-01
