Time,01_A1:ANCHORAGEMERRILLFIELDANNHTG99.6CONDNSDB:Des Heat Load [W],01_A1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_A1:ANCHORAGEMERRILLFIELDANNHTG99.6CONDNSDB:Des Heat Mass Flow [kg/s],01_A1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_A2::Des Heat Load [W],01_A2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_A2::Des Heat Mass Flow [kg/s],01_A2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_B2:ANCHORAGEMERRILLFIELDANNHTG99.6CONDNSDB:Des Heat Load [W],01_B2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_B2:ANCHORAGEMERRILLFIELDANNHTG99.6CONDNSDB:Des Heat Mass Flow [kg/s],01_B2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_C1:ANCHORAGEMERRILLFIELDANNHTG99.6CONDNSDB:Des Heat Load [W],01_C1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_C1:ANCHORAGEMERRILLFIELDANNHTG99.6CONDNSDB:Des Heat Mass Flow [kg/s],01_C1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_A1::Des Heat Load [W],02_A1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_A1::Des Heat Mass Flow [kg/s],02_A1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_A2::Des Heat Load [W],02_A2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_A2::Des Heat Mass Flow [kg/s],02_A2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_B2::Des Heat Load [W],02_B2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_B2::Des Heat Mass Flow [kg/s],02_B2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_C1::Des Heat Load [W],02_C1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_C1::Des Heat Mass Flow [kg/s],02_C1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_A1::Des Heat Load [W],03_A1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_A1::Des Heat Mass Flow [kg/s],03_A1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_A2::Des Heat Load [W],03_A2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_A2::Des Heat Mass Flow [kg/s],03_A2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_B2::Des Heat Load [W],03_B2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_B2::Des Heat Mass Flow [kg/s],03_B2:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_C1::Des Heat Load [W],03_C1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_C1::Des Heat Mass Flow [kg/s],03_C1:ANCHORAGEMERRILLFIELDANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,1.300412E+03,0.000000E+00,9.166757E-02,0.000000E+00,1.319471E+03,0.000000E+00,9.302622E-02,0.000000E+00,8.150316E+02,0.000000E+00,5.745651E-02,0.000000E+00,8.983600E+02,0.000000E+00,6.333056E-02,0.000000E+00,3.149672E+03,0.000000E+00,2.220586E-01,0.000000E+00,2.727485E+03,0.000000E+00,1.922924E-01,0.000000E+00,3.175281E+03,0.000000E+00,2.238553E-01,0.000000E+00,3.952620E+03,0.000000E+00,2.786576E-01,0.000000E+00,3.145210E+03,0.000000E+00,2.217439E-01,0.000000E+00,2.873995E+03,0.000000E+00,2.026195E-01,0.000000E+00,3.197545E+03,0.000000E+00,2.254247E-01,0.000000E+00,3.935005E+03,0.000000E+00,2.774156E-01
00:20:00,0.000000E+00,1.218107E+03,0.000000E+00,8.586576E-02,0.000000E+00,1.246442E+03,0.000000E+00,8.787695E-02,0.000000E+00,7.290499E+02,0.000000E+00,5.139489E-02,0.000000E+00,8.014535E+02,0.000000E+00,5.649880E-02,0.000000E+00,3.059545E+03,0.000000E+00,2.157033E-01,0.000000E+00,2.642377E+03,0.000000E+00,1.862912E-01,0.000000E+00,3.080534E+03,0.000000E+00,2.171748E-01,0.000000E+00,3.837253E+03,0.000000E+00,2.705233E-01,0.000000E+00,3.050737E+03,0.000000E+00,2.150822E-01,0.000000E+00,2.786591E+03,0.000000E+00,1.964564E-01,0.000000E+00,3.097291E+03,0.000000E+00,2.183559E-01,0.000000E+00,3.814916E+03,0.000000E+00,2.689483E-01
00:30:00,0.000000E+00,1.136042E+03,0.000000E+00,8.008084E-02,0.000000E+00,1.173444E+03,0.000000E+00,8.272996E-02,0.000000E+00,6.430610E+02,0.000000E+00,4.533279E-02,0.000000E+00,7.049810E+02,0.000000E+00,4.969767E-02,0.000000E+00,2.969348E+03,0.000000E+00,2.093431E-01,0.000000E+00,2.556915E+03,0.000000E+00,1.802652E-01,0.000000E+00,2.985501E+03,0.000000E+00,2.104741E-01,0.000000E+00,3.722153E+03,0.000000E+00,2.624077E-01,0.000000E+00,2.956312E+03,0.000000E+00,2.084239E-01,0.000000E+00,2.698852E+03,0.000000E+00,1.902698E-01,0.000000E+00,2.996899E+03,0.000000E+00,2.112775E-01,0.000000E+00,3.695260E+03,0.000000E+00,2.605116E-01
00:40:00,0.000000E+00,1.054182E+03,0.000000E+00,7.431044E-02,0.000000E+00,1.100514E+03,0.000000E+00,7.758771E-02,0.000000E+00,5.570834E+02,0.000000E+00,3.927148E-02,0.000000E+00,6.089228E+02,0.000000E+00,4.292573E-02,0.000000E+00,2.879062E+03,0.000000E+00,2.029767E-01,0.000000E+00,2.471110E+03,0.000000E+00,1.742149E-01,0.000000E+00,2.890184E+03,0.000000E+00,2.037535E-01,0.000000E+00,3.607278E+03,0.000000E+00,2.543081E-01,0.000000E+00,2.861904E+03,0.000000E+00,2.017669E-01,0.000000E+00,2.610784E+03,0.000000E+00,1.840600E-01,0.000000E+00,2.896362E+03,0.000000E+00,2.041889E-01,0.000000E+00,3.575980E+03,0.000000E+00,2.521015E-01
00:50:00,0.000000E+00,9.724998E+02,0.000000E+00,6.855250E-02,0.000000E+00,1.027634E+03,0.000000E+00,7.244901E-02,0.000000E+00,4.711100E+02,0.000000E+00,3.321045E-02,0.000000E+00,5.132334E+02,0.000000E+00,3.617979E-02,0.000000E+00,2.788670E+03,0.000000E+00,1.966028E-01,0.000000E+00,2.384962E+03,0.000000E+00,1.681405E-01,0.000000E+00,2.794588E+03,0.000000E+00,1.970132E-01,0.000000E+00,3.492599E+03,0.000000E+00,2.462223E-01,0.000000E+00,2.767488E+03,0.000000E+00,1.951093E-01,0.000000E+00,2.522392E+03,0.000000E+00,1.778274E-01,0.000000E+00,2.795678E+03,0.000000E+00,1.970898E-01,0.000000E+00,3.457029E+03,0.000000E+00,2.437145E-01
01:00:00,0.000000E+00,8.909688E+02,0.000000E+00,6.280524E-02,0.000000E+00,9.547993E+02,0.000000E+00,6.731349E-02,0.000000E+00,3.851387E+02,0.000000E+00,2.714957E-02,0.000000E+00,4.178774E+02,0.000000E+00,2.945734E-02,0.000000E+00,2.698160E+03,0.000000E+00,1.902206E-01,0.000000E+00,2.298474E+03,0.000000E+00,1.620421E-01,0.000000E+00,2.698719E+03,0.000000E+00,1.902537E-01,0.000000E+00,3.378091E+03,0.000000E+00,2.381486E-01,0.000000E+00,2.673043E+03,0.000000E+00,1.884497E-01,0.000000E+00,2.433681E+03,0.000000E+00,1.715723E-01,0.000000E+00,2.694844E+03,0.000000E+00,1.899803E-01,0.000000E+00,3.338369E+03,0.000000E+00,2.353481E-01
01:10:00,1.904975E+00,8.515940E+02,1.682922E-04,6.002963E-02,0.000000E+00,9.221324E+02,0.000000E+00,6.500995E-02,0.000000E+00,3.464541E+02,0.000000E+00,2.442229E-02,0.000000E+00,3.711559E+02,0.000000E+00,2.616351E-02,0.000000E+00,2.646968E+03,0.000000E+00,1.866104E-01,0.000000E+00,2.252693E+03,0.000000E+00,1.588137E-01,0.000000E+00,2.646551E+03,0.000000E+00,1.865751E-01,0.000000E+00,3.308808E+03,0.000000E+00,2.332632E-01,0.000000E+00,2.621065E+03,0.000000E+00,1.847841E-01,0.000000E+00,2.389533E+03,0.000000E+00,1.684589E-01,0.000000E+00,2.641693E+03,0.000000E+00,1.862324E-01,0.000000E+00,3.268782E+03,0.000000E+00,2.304413E-01
01:20:00,6.660784E+00,8.149586E+02,5.884373E-04,5.744713E-02,0.000000E+00,8.932301E+02,0.000000E+00,6.297227E-02,0.000000E+00,3.105151E+02,0.000000E+00,2.188880E-02,0.000000E+00,3.274897E+02,0.000000E+00,2.308532E-02,0.000000E+00,2.598248E+03,0.000000E+00,1.831750E-01,0.000000E+00,2.211206E+03,0.000000E+00,1.558884E-01,0.000000E+00,2.597022E+03,0.000000E+00,1.830829E-01,0.000000E+00,3.242597E+03,0.000000E+00,2.285949E-01,0.000000E+00,2.571162E+03,0.000000E+00,1.812653E-01,0.000000E+00,2.347176E+03,0.000000E+00,1.654723E-01,0.000000E+00,2.590700E+03,0.000000E+00,1.826371E-01,0.000000E+00,3.201814E+03,0.000000E+00,2.257197E-01
01:30:00,1.361723E+01,7.799259E+02,1.202995E-03,5.497759E-02,0.000000E+00,8.656594E+02,0.000000E+00,6.102851E-02,0.000000E+00,2.761234E+02,0.000000E+00,1.946441E-02,0.000000E+00,2.857590E+02,0.000000E+00,2.014358E-02,0.000000E+00,2.551073E+03,0.000000E+00,1.798486E-01,0.000000E+00,2.171048E+03,0.000000E+00,1.530570E-01,0.000000E+00,2.549000E+03,0.000000E+00,1.796971E-01,0.000000E+00,3.178376E+03,0.000000E+00,2.240670E-01,0.000000E+00,2.522756E+03,0.000000E+00,1.778522E-01,0.000000E+00,2.305963E+03,0.000000E+00,1.625665E-01,0.000000E+00,2.541106E+03,0.000000E+00,1.791405E-01,0.000000E+00,3.136762E+03,0.000000E+00,2.211332E-01
01:40:00,2.246007E+01,7.460526E+02,1.984205E-03,5.258980E-02,0.000000E+00,8.389729E+02,0.000000E+00,5.914708E-02,0.000000E+00,2.426771E+02,0.000000E+00,1.710666E-02,0.000000E+00,2.453623E+02,0.000000E+00,1.729589E-02,0.000000E+00,2.505031E+03,0.000000E+00,1.766023E-01,0.000000E+00,2.131836E+03,0.000000E+00,1.502922E-01,0.000000E+00,2.501998E+03,0.000000E+00,1.763833E-01,0.000000E+00,3.115664E+03,0.000000E+00,2.196455E-01,0.000000E+00,2.475566E+03,0.000000E+00,1.745249E-01,0.000000E+00,2.265613E+03,0.000000E+00,1.597215E-01,0.000000E+00,2.492592E+03,0.000000E+00,1.757201E-01,0.000000E+00,3.073301E+03,0.000000E+00,2.166590E-01
