Time,01_A1:ANCHORAGEANNHTG99.6CONDNSDB:Des Heat Load [W],01_A1:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_A1:ANCHORAGEANNHTG99.6CONDNSDB:Des Heat Mass Flow [kg/s],01_A1:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_A2::Des Heat Load [W],01_A2:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_A2::Des Heat Mass Flow [kg/s],01_A2:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_B2:ANCHORAGEANNHTG99.6CONDNSDB:Des Heat Load [W],01_B2:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_B2:ANCHORAGEANNHTG99.6CONDNSDB:Des Heat Mass Flow [kg/s],01_B2:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],01_C1::Des Heat Load [W],01_C1:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],01_C1::Des Heat Mass Flow [kg/s],01_C1:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_A1::Des Heat Load [W],02_A1:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_A1::Des Heat Mass Flow [kg/s],02_A1:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_A2::Des Heat Load [W],02_A2:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_A2::Des Heat Mass Flow [kg/s],02_A2:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_B2::Des Heat Load [W],02_B2:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_B2::Des Heat Mass Flow [kg/s],02_B2:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],02_C1::Des Heat Load [W],02_C1:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],02_C1::Des Heat Mass Flow [kg/s],02_C1:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_A1::Des Heat Load [W],03_A1:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_A1::Des Heat Mass Flow [kg/s],03_A1:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_A2::Des Heat Load [W],03_A2:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_A2::Des Heat Mass Flow [kg/s],03_A2:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_B2::Des Heat Load [W],03_B2:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_B2::Des Heat Mass Flow [kg/s],03_B2:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s],03_C1::Des Heat Load [W],03_C1:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Sens Cool Load [W],03_C1::Des Heat Mass Flow [kg/s],03_C1:ANCHORAGEANNCLG.4CONDNSDBMWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,1.203332E+03,0.000000E+00,8.482433E-02,0.000000E+00,1.353448E+03,0.000000E+00,9.542159E-02,0.000000E+00,8.792972E+02,0.000000E+00,6.198695E-02,0.000000E+00,7.245907E+02,0.000000E+00,5.108025E-02,0.000000E+00,2.842434E+03,0.000000E+00,2.003977E-01,0.000000E+00,2.923700E+03,0.000000E+00,2.061254E-01,0.000000E+00,3.419349E+03,0.000000E+00,2.410618E-01,0.000000E+00,3.336187E+03,0.000000E+00,2.351994E-01,0.000000E+00,2.872210E+03,0.000000E+00,2.024968E-01,0.000000E+00,3.065852E+03,0.000000E+00,2.161456E-01,0.000000E+00,3.396116E+03,0.000000E+00,2.394237E-01,0.000000E+00,3.366151E+03,0.000000E+00,2.373117E-01
00:20:00,0.000000E+00,1.125772E+03,0.000000E+00,7.935699E-02,0.000000E+00,1.278402E+03,0.000000E+00,9.013010E-02,0.000000E+00,7.892662E+02,0.000000E+00,5.563987E-02,0.000000E+00,6.347046E+02,0.000000E+00,4.474349E-02,0.000000E+00,2.762038E+03,0.000000E+00,1.947286E-01,0.000000E+00,2.831607E+03,0.000000E+00,1.996318E-01,0.000000E+00,3.316003E+03,0.000000E+00,2.337750E-01,0.000000E+00,3.239125E+03,0.000000E+00,2.283557E-01,0.000000E+00,2.786619E+03,0.000000E+00,1.964614E-01,0.000000E+00,2.971891E+03,0.000000E+00,2.095201E-01,0.000000E+00,3.288660E+03,0.000000E+00,2.318471E-01,0.000000E+00,3.263261E+03,0.000000E+00,2.300571E-01
00:30:00,0.000000E+00,1.048069E+03,0.000000E+00,7.387953E-02,0.000000E+00,1.203486E+03,0.000000E+00,8.484788E-02,0.000000E+00,6.995350E+02,0.000000E+00,4.931394E-02,0.000000E+00,5.447965E+02,0.000000E+00,3.840521E-02,0.000000E+00,2.681158E+03,0.000000E+00,1.890253E-01,0.000000E+00,2.739371E+03,0.000000E+00,1.931281E-01,0.000000E+00,3.212721E+03,0.000000E+00,2.264928E-01,0.000000E+00,3.141690E+03,0.000000E+00,2.214857E-01,0.000000E+00,2.700649E+03,0.000000E+00,1.903994E-01,0.000000E+00,2.877835E+03,0.000000E+00,2.028881E-01,0.000000E+00,3.181404E+03,0.000000E+00,2.242848E-01,0.000000E+00,3.160148E+03,0.000000E+00,2.227868E-01
00:40:00,0.000000E+00,9.702289E+02,0.000000E+00,6.839247E-02,0.000000E+00,1.128732E+03,0.000000E+00,7.957710E-02,0.000000E+00,6.100934E+02,0.000000E+00,4.300843E-02,0.000000E+00,4.548906E+02,0.000000E+00,3.206709E-02,0.000000E+00,2.599808E+03,0.000000E+00,1.832890E-01,0.000000E+00,2.646993E+03,0.000000E+00,1.866144E-01,0.000000E+00,3.109473E+03,0.000000E+00,2.192130E-01,0.000000E+00,3.043882E+03,0.000000E+00,2.145895E-01,0.000000E+00,2.614313E+03,0.000000E+00,1.843115E-01,0.000000E+00,2.783671E+03,0.000000E+00,1.962485E-01,0.000000E+00,3.074303E+03,0.000000E+00,2.167334E-01,0.000000E+00,3.056803E+03,0.000000E+00,2.155001E-01
00:50:00,0.000000E+00,8.922598E+02,0.000000E+00,6.289630E-02,0.000000E+00,1.054119E+03,0.000000E+00,7.431615E-02,0.000000E+00,5.209076E+02,0.000000E+00,3.672093E-02,0.000000E+00,3.649783E+02,0.000000E+00,2.572851E-02,0.000000E+00,2.518002E+03,0.000000E+00,1.775205E-01,0.000000E+00,2.554464E+03,0.000000E+00,1.800901E-01,0.000000E+00,3.006237E+03,0.000000E+00,2.119340E-01,0.000000E+00,2.945705E+03,0.000000E+00,2.076672E-01,0.000000E+00,2.527619E+03,0.000000E+00,1.781984E-01,0.000000E+00,2.689390E+03,0.000000E+00,1.896006E-01,0.000000E+00,2.967321E+03,0.000000E+00,2.091904E-01,0.000000E+00,2.953220E+03,0.000000E+00,2.081968E-01
01:00:00,0.000000E+00,8.141676E+02,0.000000E+00,5.739145E-02,0.000000E+00,9.796343E+02,0.000000E+00,6.906433E-02,0.000000E+00,4.319520E+02,0.000000E+00,3.044965E-02,0.000000E+00,2.750576E+02,0.000000E+00,1.938934E-02,0.000000E+00,2.435753E+03,0.000000E+00,1.717208E-01,0.000000E+00,2.461784E+03,0.000000E+00,1.735552E-01,0.000000E+00,2.902998E+03,0.000000E+00,2.046549E-01,0.000000E+00,2.847164E+03,0.000000E+00,2.007192E-01,0.000000E+00,2.440578E+03,0.000000E+00,1.720608E-01,0.000000E+00,2.594985E+03,0.000000E+00,1.829440E-01,0.000000E+00,2.860433E+03,0.000000E+00,2.016540E-01,0.000000E+00,2.849399E+03,0.000000E+00,2.008766E-01
01:10:00,0.000000E+00,7.779847E+02,0.000000E+00,5.484084E-02,0.000000E+00,9.454694E+02,0.000000E+00,6.665517E-02,0.000000E+00,3.904869E+02,0.000000E+00,2.752634E-02,0.000000E+00,2.334581E+02,0.000000E+00,1.645668E-02,0.000000E+00,2.392524E+03,0.000000E+00,1.686722E-01,0.000000E+00,2.410172E+03,0.000000E+00,1.699156E-01,0.000000E+00,2.843708E+03,0.000000E+00,2.004741E-01,0.000000E+00,2.793342E+03,0.000000E+00,1.969240E-01,0.000000E+00,2.395715E+03,0.000000E+00,1.688969E-01,0.000000E+00,2.545319E+03,0.000000E+00,1.794416E-01,0.000000E+00,2.801443E+03,0.000000E+00,1.974943E-01,0.000000E+00,2.794157E+03,0.000000E+00,1.969813E-01
01:20:00,2.140696E+00,7.443193E+02,1.891168E-04,5.246769E-02,0.000000E+00,9.151915E+02,0.000000E+00,6.452050E-02,0.000000E+00,3.519657E+02,0.000000E+00,2.481081E-02,0.000000E+00,1.945986E+02,0.000000E+00,1.371739E-02,0.000000E+00,2.351478E+03,0.000000E+00,1.657778E-01,0.000000E+00,2.363098E+03,0.000000E+00,1.665963E-01,0.000000E+00,2.787300E+03,0.000000E+00,1.964970E-01,0.000000E+00,2.742092E+03,0.000000E+00,1.933105E-01,0.000000E+00,2.352647E+03,0.000000E+00,1.658601E-01,0.000000E+00,2.497624E+03,0.000000E+00,1.760787E-01,0.000000E+00,2.744820E+03,0.000000E+00,1.935021E-01,0.000000E+00,2.741046E+03,0.000000E+00,1.932366E-01
01:30:00,6.477301E+00,7.120380E+02,5.722283E-04,5.019212E-02,0.000000E+00,8.862949E+02,0.000000E+00,6.248325E-02,0.000000E+00,3.151363E+02,0.000000E+00,2.221457E-02,0.000000E+00,1.574020E+02,0.000000E+00,1.109535E-02,0.000000E+00,2.311695E+03,0.000000E+00,1.629727E-01,0.000000E+00,2.317516E+03,0.000000E+00,1.633825E-01,0.000000E+00,2.732607E+03,0.000000E+00,1.926408E-01,0.000000E+00,2.692348E+03,0.000000E+00,1.898033E-01,0.000000E+00,2.310789E+03,0.000000E+00,1.629087E-01,0.000000E+00,2.451205E+03,0.000000E+00,1.728057E-01,0.000000E+00,2.689752E+03,0.000000E+00,1.896195E-01,0.000000E+00,2.689357E+03,0.000000E+00,1.895923E-01
01:40:00,1.269731E+01,6.807445E+02,1.121727E-03,4.798618E-02,0.000000E+00,8.583576E+02,0.000000E+00,6.051364E-02,0.000000E+00,2.794235E+02,0.000000E+00,1.969703E-02,0.000000E+00,1.213070E+02,0.000000E+00,8.550960E-03,0.000000E+00,2.272796E+03,0.000000E+00,1.602299E-01,0.000000E+00,2.273065E+03,0.000000E+00,1.602485E-01,0.000000E+00,2.679165E+03,0.000000E+00,1.888730E-01,0.000000E+00,2.643670E+03,0.000000E+00,1.863713E-01,0.000000E+00,2.269924E+03,0.000000E+00,1.600274E-01,0.000000E+00,2.405848E+03,0.000000E+00,1.696077E-01,0.000000E+00,2.635981E+03,0.000000E+00,1.858285E-01,0.000000E+00,2.638849E+03,0.000000E+00,1.860313E-01
